,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.15429753413889977
1,CO (Launch),0.6118402727519244
2,CO2 (Launch),15.692159236564146
3,NOx (Launch),0.24571944119474817
4,H2O (Launch),13.116115837322356
5,Al2O3 (Launch),2.1082256279284364
6,Cl (Launch),0.09681174379959205
7,HCl (Launch),0.9515914593986464
8,Cl2 (Launch),0.3463674720393111
9,NOx (Reentry),0.0
10,Al2O3 (Reentry),0.0
11,BC (Reentry),0.0
12,Cl (Reentry),0.0
13,HCl (Reentry),0.0
14,Cly (Total),1.3947706752375495
15,NOx (Total),0.24571944119474817
16,Total Emis,33.32312862513806
17,Total Prop,26.515234457259307
18,Surviving Mass,0.0
