Species,Emissions in Grid [Gg],Emissions Above Grid [Gg]
BC (Launch),0.158358081,0.068629297
CO (Launch),0.757506145,0.768042695
CO2 (Launch),16.761911657,1.618800815
NOx (Launch),0.189680849,0.013290603
H2O (Launch),12.23592526,2.413322022
Al2O3 (Launch),1.978258958,0.053047575
Cl (Launch),0.11385798,0.008248251
HCl (Launch),0.839505101,0.010674207
Cl2 (Launch),0.355423365,0.016011311
NOx (Reentry),0.0,0.0
Al2O3 (Reentry),0.0,0.0
BC (Reentry),0.0,0.0
Cl (Reentry),0.0,0.0
HCl (Reentry),0.0,0.0
Cly (Total),1.308786445,0.034933769
NOx (Total),0.189680849,0.013290603
Total Emis,33.390427395,4.970066776
Total Prop,24.338342474,4.172411188
Surviving Mass,0.0,0.0
