Species,Emissions 0-80 km [Gg]
BC (Launch),0.355347336
CO (Launch),1.612822837
CO2 (Launch),43.408118812
NOx (Launch),0.384860198
H2O (Launch),24.546235836
Al2O3 (Launch),1.912005959
Cl (Launch),0.101354203
HCl (Launch),0.830715992
Cl2 (Launch),0.332884237
NOx (Reentry),1.600679857
Al2O3 (Reentry),0.834854423
BC (Reentry),0.038605354
Cl (Reentry),0.014355318
HCl (Reentry),0.007142252
Cly (Total),1.286452001
NOx (Total),1.985540055
Total Emis,75.979982614
Total Prop,51.91114213
Surviving Mass,3.716517284
