,Species,Emissions 0-80 km [Gg]
0,BC (Launch),0.6073522349706978
1,CO (Launch),2.9274642609756967
2,CO2 (Launch),77.48196216233221
3,NOx (Launch),0.5274495136733073
4,H2O (Launch),36.41184524558573
5,Al2O3 (Launch),1.6280506881652062
6,Cl (Launch),0.08608943268238436
7,HCl (Launch),0.7080055373490282
8,Cl2 (Launch),0.2829990308412993
9,NOx (Reentry),2.139561483133332
10,Al2O3 (Reentry),1.0668696657566663
11,BC (Reentry),0.05947551535866698
12,Cl (Reentry),0.022143214646666673
13,HCl (Reentry),0.010957181512666638
14,Cly (Total),1.1101943970320451
15,NOx (Total),2.6670109968066393
16,Total Emis,123.96022516698355
17,Total Prop,81.18105664083569
18,Surviving Mass,5.728086761566657
